Filename,Mode,Original_Score,Best_Score,Improvement_Abs,Best_Iter,Stop_Reason
NORM-TCGA-WQYDFWYT.tif,minimize,0.452159,0.005096,0.447063,1,Target_Reached
NORM-TCGA-GAPLLNAV.tif,minimize,0.566555,0.005007,0.561549,1,Target_Reached
NORM-TCGA-QRQLRKML.tif,minimize,0.453003,0.003775,0.449229,1,Target_Reached
NORM-TCGA-VFMRANGD.tif,minimize,0.131157,0.002366,0.128791,1,Target_Reached
NORM-TCGA-VMTNILQF.tif,minimize,0.583205,0.008393,0.574812,1,Target_Reached
NORM-TCGA-NPSPNRFW.tif,minimize,0.284278,0.002743,0.281535,1,Target_Reached
NORM-TCGA-LPQTLQVG.tif,minimize,0.645961,0.015144,0.630817,1,Target_Reached
NORM-TCGA-IWTPDRLA.tif,minimize,0.420509,0.002562,0.417946,1,Target_Reached
NORM-TCGA-MSSNFDAD.tif,minimize,0.279561,0.005320,0.274241,1,Target_Reached
NORM-TCGA-VQTWIINW.tif,minimize,0.241636,0.002611,0.239025,1,Target_Reached
NORM-TCGA-TGGRMVRK.tif,minimize,0.366202,0.003428,0.362774,1,Target_Reached
NORM-TCGA-WGSHEWVI.tif,minimize,0.617139,0.002826,0.614313,1,Target_Reached
NORM-TCGA-RECGSRGN.tif,minimize,0.499445,0.005554,0.493891,1,Target_Reached
NORM-TCGA-SNSMCHQF.tif,minimize,0.297073,0.036822,0.260251,1,Degradation
NORM-TCGA-QYRYEYGK.tif,minimize,0.036027,0.006316,0.029711,1,Target_Reached
NORM-TCGA-AGLINTRE.tif,minimize,0.683592,0.012015,0.671577,1,Target_Reached
NORM-TCGA-YFKESQQD.tif,minimize,0.019299,0.002799,0.016500,1,Target_Reached
NORM-TCGA-RCPWECEM.tif,minimize,0.438158,0.005532,0.432625,1,Target_Reached
NORM-TCGA-PETKRINA.tif,minimize,0.521473,0.001654,0.519819,1,Target_Reached
NORM-TCGA-GDRVGAET.tif,minimize,0.354453,0.004533,0.349920,1,Target_Reached
NORM-TCGA-AYAWEGRC.tif,minimize,0.141714,0.005789,0.135925,1,Target_Reached
NORM-TCGA-KFVEGVEH.tif,minimize,0.255694,0.003963,0.251732,1,Target_Reached
NORM-TCGA-KHGRVYPS.tif,minimize,0.594079,0.003010,0.591069,1,Target_Reached
NORM-TCGA-FFMGYRYT.tif,minimize,0.415039,0.003563,0.411475,1,Target_Reached
NORM-TCGA-RCHMCIPK.tif,minimize,0.478310,0.003593,0.474717,1,Target_Reached
NORM-TCGA-VTMVRPYK.tif,minimize,0.389281,0.001855,0.387426,1,Target_Reached
NORM-TCGA-YLCFYCSH.tif,minimize,0.506293,0.004160,0.502133,1,Target_Reached
NORM-TCGA-IVEGRNHQ.tif,minimize,0.616286,0.004903,0.611383,1,Target_Reached
NORM-TCGA-HKWNFGEH.tif,minimize,0.147035,0.005212,0.141823,1,Target_Reached
NORM-TCGA-CLTVRFTD.tif,maximize,0.534977,0.955015,0.420039,3,Batch_Converged
NORM-TCGA-IVLYMYED.tif,minimize,0.673715,0.004544,0.669171,1,Target_Reached
NORM-TCGA-VWNYHSSN.tif,minimize,0.609944,0.005903,0.604042,1,Target_Reached
NORM-TCGA-DSNATKMV.tif,minimize,0.515743,0.005575,0.510167,2,Target_Reached
NORM-TCGA-ETIGILEA.tif,minimize,0.528434,0.001070,0.527364,2,Target_Reached
NORM-TCGA-WRITDSAY.tif,minimize,0.492004,0.009777,0.482227,1,Target_Reached
NORM-TCGA-IGISNPIC.tif,minimize,0.446761,0.005119,0.441643,1,Target_Reached
NORM-TCGA-TSVHLSYG.tif,minimize,0.261747,0.002346,0.259401,1,Target_Reached
NORM-TCGA-KHARHKWK.tif,minimize,0.463627,0.010693,0.452935,1,Target_Reached
NORM-TCGA-PMWMTSLT.tif,minimize,0.635005,0.011356,0.623648,1,Target_Reached
NORM-TCGA-DWIIDRCQ.tif,minimize,0.512456,0.004100,0.508356,1,Target_Reached
NORM-TCGA-YYSDHGSY.tif,minimize,0.549121,0.002428,0.546693,1,Target_Reached
NORM-TCGA-EISRLKLW.tif,minimize,0.405799,0.007684,0.398116,1,Target_Reached
